input
rotation 854-15-92 to 937-957-0  >> rotation: [ 854-15-92 ] -- [937-957-0 ] .
rotation 1-5-98  >> rotation: [ 1-5-98 ] .
rotation 146-92-9 to 4-69-99  >> rotation: [ 146-92-9 ] -- [4-69-99 ] .
rotation 2-02-47  >> rotation: [ 2-02-47 ] .
rotation 3-86-51 to 49-34-1  >> rotation: [ 3-86-51 ] -- [49-34-1 ] .
rotation 3-2-7  >> rotation: [ 3-2-7 ] .
rotation 4-719-19  >> rotation: [ 4-719-19 ] .
rotation 68-022-99  >> rotation: [ 68-022-99 ] .
rotation 862-7-38 to 594-761-57  >> rotation: [ 862-7-38 ] -- [594-761-57 ] .
rotation 6-449-830  >> rotation: [ 6-449-830 ] .
rotation 4-131-29  >> rotation: [ 4-131-29 ] .
rotation 18-15-93 to 20-42-61  >> rotation: [ 18-15-93 ] -- [20-42-61 ] .
rotation 9-9-7  >> rotation: [ 9-9-7 ] .
rotation 100-42-3 to 4-34-85  >> rotation: [ 100-42-3 ] -- [4-34-85 ] .
rotation 3-68-63 to 0-394-8  >> rotation: [ 3-68-63 ] -- [0-394-8 ] .
rotation 753-7-257  >> rotation: [ 753-7-257 ] .
rotation 801-234-701  >> rotation: [ 801-234-701 ] .
rotation 19-5-9 to 525-328-7  >> rotation: [ 19-5-9 ] -- [525-328-7 ] .
rotation 22-045-546  >> rotation: [ 22-045-546 ] .
rotation 9-846-963 to 819-64-484  >> rotation: [ 9-846-963 ] -- [819-64-484 ] .
rotation 705-0-242 to 827-030-8  >> rotation: [ 705-0-242 ] -- [827-030-8 ] .
rotation 6-7-5  >> rotation: [ 6-7-5 ] .
rotation 8-2-32  >> rotation: [ 8-2-32 ] .
rotation 633-6-57  >> rotation: [ 633-6-57 ] .
rotation 387-00-084  >> rotation: [ 387-00-084 ] .
rotation 9-588-4  >> rotation: [ 9-588-4 ] .
rotation 2-1-686 to 253-966-8  >> rotation: [ 2-1-686 ] -- [253-966-8 ] .
rotation 7-176-173  >> rotation: [ 7-176-173 ] .
rotation 2-24-67 to 01-263-47  >> rotation: [ 2-24-67 ] -- [01-263-47 ] .
rotation 34-00-0  >> rotation: [ 34-00-0 ] .
rotation 7-221-0  >> rotation: [ 7-221-0 ] .
rotation 390-3-3 to 56-34-704  >> rotation: [ 390-3-3 ] -- [56-34-704 ] .
rotation 699-912-730  >> rotation: [ 699-912-730 ] .
rotation 81-044-434 to 3-3-9  >> rotation: [ 81-044-434 ] -- [3-3-9 ] .
rotation 64-645-9  >> rotation: [ 64-645-9 ] .
rotation 981-34-41  >> rotation: [ 981-34-41 ] .
rotation 42-046-1  >> rotation: [ 42-046-1 ] .
rotation 580-738-4 to 041-7-30  >> rotation: [ 580-738-4 ] -- [041-7-30 ] .
rotation 57-876-4  >> rotation: [ 57-876-4 ] .
