input,target
rotation 271-597-990 ,rotation: [ 271-597-990 ] 
rotation 49-941-16 to 71-688-6 ,rotation: [ 49-941-16 ] -- [71-688-6 ] 
rotation 2-56-6 ,rotation: [ 2-56-6 ] 
rotation 5-421-727 ,rotation: [ 5-421-727 ] 
rotation 88-9-1 to 14-0-02 ,rotation: [ 88-9-1 ] -- [14-0-02 ] 
rotation 898-0-603 to 0-15-826 ,rotation: [ 898-0-603 ] -- [0-15-826 ] 
rotation 5-96-4 ,rotation: [ 5-96-4 ] 
rotation 2-463-96 to 68-844-74 ,rotation: [ 2-463-96 ] -- [68-844-74 ] 
rotation 22-1-474 to 052-5-49 ,rotation: [ 22-1-474 ] -- [052-5-49 ] 
rotation 36-16-814 ,rotation: [ 36-16-814 ] 
rotation 6-54-794 to 6-5-540 ,rotation: [ 6-54-794 ] -- [6-5-540 ] 
rotation 752-8-2 to 69-63-2 ,rotation: [ 752-8-2 ] -- [69-63-2 ] 
rotation 48-347-4 to 59-5-243 ,rotation: [ 48-347-4 ] -- [59-5-243 ] 
rotation 6-170-07 ,rotation: [ 6-170-07 ] 
rotation 89-671-57 ,rotation: [ 89-671-57 ] 
rotation 9-825-06 to 03-2-6 ,rotation: [ 9-825-06 ] -- [03-2-6 ] 
rotation 76-18-934 to 26-6-040 ,rotation: [ 76-18-934 ] -- [26-6-040 ] 
rotation 656-92-2 ,rotation: [ 656-92-2 ] 
rotation 9-3-56 ,rotation: [ 9-3-56 ] 
rotation 498-843-068 to 596-80-18 ,rotation: [ 498-843-068 ] -- [596-80-18 ] 
rotation 95-41-8 ,rotation: [ 95-41-8 ] 
rotation 8-04-32 to 0-996-95 ,rotation: [ 8-04-32 ] -- [0-996-95 ] 
rotation 71-279-831 to 4-7-8 ,rotation: [ 71-279-831 ] -- [4-7-8 ] 
rotation 2-87-930 ,rotation: [ 2-87-930 ] 
rotation 3-4-1 to 127-81-556 ,rotation: [ 3-4-1 ] -- [127-81-556 ] 
rotation 87-2-03 ,rotation: [ 87-2-03 ] 
rotation 94-325-28 to 18-128-0 ,rotation: [ 94-325-28 ] -- [18-128-0 ] 
rotation 710-3-8 ,rotation: [ 710-3-8 ] 
rotation 0-397-491 ,rotation: [ 0-397-491 ] 
rotation 8-596-244 to 7-348-33 ,rotation: [ 8-596-244 ] -- [7-348-33 ] 
rotation 5-347-53 ,rotation: [ 5-347-53 ] 
rotation 20-317-3 ,rotation: [ 20-317-3 ] 
rotation 2-97-36 to 59-24-420 ,rotation: [ 2-97-36 ] -- [59-24-420 ] 
rotation 208-2-94 ,rotation: [ 208-2-94 ] 
rotation 4-03-8 to 28-7-2 ,rotation: [ 4-03-8 ] -- [28-7-2 ] 
rotation 3-59-29 ,rotation: [ 3-59-29 ] 
rotation 6-57-683 ,rotation: [ 6-57-683 ] 
rotation 924-30-896 ,rotation: [ 924-30-896 ] 
rotation 188-07-3 to 717-154-2 ,rotation: [ 188-07-3 ] -- [717-154-2 ] 
rotation 61-73-5 ,rotation: [ 61-73-5 ] 
rotation 32-5-62 ,rotation: [ 32-5-62 ] 
rotation 09-0-114 ,rotation: [ 09-0-114 ] 
rotation 18-3-1 ,rotation: [ 18-3-1 ] 
rotation 721-4-079 to 6-140-6 ,rotation: [ 721-4-079 ] -- [6-140-6 ] 
