input
terrain ujwo with position 74980 and amount 1173 to 9892 and class(s) owjk and position in jjlih and material(s) dicgxwdt and rotation 469-20-892 and amount 3885 to 7331  terrain:{\nujwo:{\nposition:{ 74980 }--\namount:[ 1173]-- [9892] --/nclass(s):[ owjk ]--\n position:{ \nin: jjlih }--\nmaterial(s):[ dicgxwdt] --\nrotation:[469-20-892] --\n amount:[ 3885]-- [7331] }
skylight wvdcby with intensity 542 lux as well as object lklez with rotation 3-4-4 to 860-0-7   skylight:{\nwvdcby:{\nintensity: 542 }--\nobject:{ \nlklez:{\nrotation:[3-4-4 ] -- [860-0-7]  
object ymus with visibility false  as well as skylight pcjg with rotation 02-08-8  object:{ \nymus:{\nvisibility: false   }--\nskylight:{\npcjg:{\nrotation: 02-08-8
skylight sezkcghs with intensity 800 lux as well as terrain gkur with rotation 36-93-875 to 139-059-970 and material(s) rnvxtwif-fepf and material(s) aubkfiuti-ghbs  skylight:{\nsezkcghs:{\nintensity: 800 }--\nterrain:{\ngkur:{\nrotation:[36-93-875 ] -- [139-059-970] --\nmaterial(s):[ rnvxtwif-fepf] --\nmaterial(s):[ aubkfiuti-ghbs] 
skylight wevr with intensity 113 lux  skylight:{\nwevr:{\nintensity: 113}
object rsag with rotation 302-9-02 to 785-9-896   object:{ \nrsag:{\nrotation:[302-9-02 ] -- [785-9-896]  }
terrain hvdjv with rotation 1-5-975 to 426-792-67  terrain:{\nhvdjv:{\nrotation:[1-5-975 ] -- [426-792-67] }
object eeeogbzpz with rotation 04-6-670 and overlap false and extent 1-969-15 and amount 7994 to 3020 and position 1048715 and scale 8 and visibility false and extent 928-588-5 and material(s) yllhovito-lfrwi and rotation 532-6-4 to 75-1-78 and class(s) ompqclqf-slaep and amount 7353 to 4489 and visibility false and class(s) yyryu-xcllczmmjm-vqzmyyn and amount 5058 to 0459 and material(s) nzkd-qeiytbdqducascz-htqpmm  as well as terrain hrxy with position 68120 and overlap false and rotation 3-66-5 to 761-041-17  object:{ \neeeogbzpz:{\nrotation:[04-6-670] --\noverlap: false --/nextent:[ 1-969-15] --\namount:[ 7994]-- [3020] --\nposition:{ 1048715 }--\nscale: [8] --/nvisibility: false --\n extent:[ 928-588-5] --\nmaterial(s):[ yllhovito-lfrwi] --\nrotation:[532-6-4 ] -- [75-1-78] --\nclass(s):[ ompqclqf-slaep ]--\namount:[ 7353]-- [4489] --\nvisibility: false --\nclass(s):[ yyryu-xcllczmmjm-vqzmyyn ]--\namount:[ 5058]-- [0459] --\n material(s):[ nzkd-qeiytbdqducascz-htqpmm]   }--\nterrain:{\nhrxy:{\nposition:{ 68120 }--\noverlap: false --\n rotation:[3-66-5 ] -- [761-041-17] 
directionallight kditf with rotation 18-0-80 as well as object nrtx with scale 4 and visibility true   directional_light:{\nkditf:{\nrotation: 18-0-80 }--\nobject:{ \nnrtx:{\nscale: [4] --\nvisibility: true  
directionallight eeqxz with rotation 7-55-3 and intensity 057 lux  directional_light:{\neeqxz:{\nrotation: 7-55-3--\nintensity: 057}}
